"","AICc","dAICc","df"
"HOF_(Sigmoid).Linear_Positive",396.515562057904,0,7
"Asymetric_Bell-Shaped.Linear_Positive",398.641766300202,2.12620424229812,8
"HOF_(Sigmoid).Quadratic",399.187077324062,2.67151526615828,8
"Linear.Linear_Positive",399.48027598172,2.96471392381613,5
"Linear.Quadratic",400.70505269552,4.18949063761613,6
"Asymetric_Bell-Shaped.Quadratic",401.553472197006,5.03791013910239,9
"Positive_Exponential.Linear_Positive",402.078336418752,5.56277436084775,6
"Negative_Exponential.Linear_Positive",402.322084704922,5.80652264701803,6
"Positive_Exponential.Quadratic",403.448102381431,6.93254032352661,7
"Negative_Exponential.Quadratic",403.712629810815,7.19706775291053,7
"No_effect.Linear_Positive",434.234533021035,37.718970963131,4
"Linear.Constant",436.602599657759,40.087037599855,4
"No_effect.Quadratic",436.746563509219,40.2310014513153,5
"Linear.Linear_Negative",439.171589693839,42.6560276359349,5
"Negative_Exponential.Constant",439.171838947328,42.6562768894244,5
"Positive_Exponential.Constant",439.172232830211,42.6566707723065,5
"HOF_(Sigmoid).Constant",439.247365572112,42.7318035142075,6
"Negative_Exponential.Linear_Negative",441.883550652446,45.3679885945418,6
"Positive_Exponential.Linear_Negative",441.883944535375,45.3683824774706,6
"HOF_(Sigmoid).Linear_Negative",442.114032232382,45.5984701744783,7
"Asymetric_Bell-Shaped.Constant",442.1846165086,45.6690544506962,7
"Asymetric_Bell-Shaped.Linear_Negative",445.219910619845,48.7043485619413,8
"No_effect.Constant",447.139044965019,50.6234829071153,3
"No_effect.Linear_Negative",449.576291921274,53.0607298633703,4
