"","do.Sum.Sq","do.Df","do.F.value","do.Pr..F.","pH.Sum.Sq","pH.Df","pH.F.value","pH.Pr..F.","redox.Sum.Sq","redox.Df","redox.F.value","redox.Pr..F.","turbidity.Sum.Sq","turbidity.Df","turbidity.F.value","turbidity.Pr..F.","Temperatura.Sum.Sq","Temperatura.Df","Temperatura.F.value","Temperatura.Pr..F.","TOC.Sum.Sq","TOC.Df","TOC.F.value","TOC.Pr..F.","TC.Sum.Sq","TC.Df","TC.F.value","TC.Pr..F.","SPC.Sum.Sq","SPC.Df","SPC.F.value","SPC.Pr..F.","TN.Sum.Sq","TN.Df","TN.F.value","TN.Pr..F.","IC.Sum.Sq","IC.Df","IC.F.value","IC.Pr..F.","condutividade.Sum.Sq","condutividade.Df","condutividade.F.value","condutividade.Pr..F.","descarga.Sum.Sq","descarga.Df","descarga.F.value","descarga.Pr..F.","clorofila.Sum.Sq","clorofila.Df","clorofila.F.value","clorofila.Pr..F.","phycocianin.Sum.Sq","phycocianin.Df","phycocianin.F.value","phycocianin.Pr..F.","Carbendazin.Sum.Sq","Carbendazin.Df","Carbendazin.F.value","Carbendazin.Pr..F.","Paracetamol.Sum.Sq","Paracetamol.Df","Paracetamol.F.value","Paracetamol.Pr..F.","Caffeine.Sum.Sq","Caffeine.Df","Caffeine.F.value","Caffeine.Pr..F.","Diuron.Sum.Sq","Diuron.Df","Diuron.F.value","Diuron.Pr..F.","Atrazin.Sum.Sq","Atrazin.Df","Atrazin.F.value","Atrazin.Pr..F.","SNRI.Sum.Sq","SNRI.Df","SNRI.F.value","SNRI.Pr..F.","n_pharma.Sum.Sq","n_pharma.Df","n_pharma.F.value","n_pharma.Pr..F.","all.Sum.Sq","all.Df","all.F.value","all.Pr..F.","Tricyclic.Sum.Sq","Tricyclic.Df","Tricyclic.F.value","Tricyclic.Pr..F.","SSRI.Sum.Sq","SSRI.Df","SSRI.F.value","SSRI.Pr..F.","Aminoketone.Sum.Sq","Aminoketone.Df","Aminoketone.F.value","Aminoketone.Pr..F.","sarscov2_n2.Sum.Sq","sarscov2_n2.Df","sarscov2_n2.F.value","sarscov2_n2.Pr..F.","sarscov2_n1.Sum.Sq","sarscov2_n1.Df","sarscov2_n1.F.value","sarscov2_n1.Pr..F."
"pasto",1.69915576955852,1,1.0837903630858,0.302960734622114,0.17114704243805,1,1.80980630095992,0.184724531204743,519.508983120611,1,1.82411466471932,0.183029025264824,4524.57489370117,1,2.29277931629144,0.136534563913927,0.417512568956084,1,0.255307180722599,0.615627962377983,140.122505851687,1,0.310781538250552,0.579738956144261,546.334908009769,1,1.06450156003653,0.307256499854808,72770.0421575268,1,4.92012448413886,0.0312117779558388,240.648885300131,1,2.61073626216733,0.112563758492221,135.819936695184,1,4.35374199650694,0.0421535983751204,54119.4316499924,1,4.57507555092569,0.0374495662073846,412.314961869619,1,0.138626151369709,0.711256176008405,0.907758882245787,1,0.293812759274329,0.590244149198403,312.715010375612,1,1.40717269356051,0.241246445591521,14969.0062428441,1,2.55997559660874,0.117671110510968,19.6536508627469,1,0.00255521744357205,0.959942789672476,6431.00495517248,1,1.07586796073435,0.306012344709182,17359.008363706,1,6.32446138889219,0.016141358604944,0.129301357834265,1,0.00846533677364908,0.927163260079418,1718.97424415534,1,0.393183526823264,0.5335416779883,0.129699868989292,1,0.00637447968215935,0.936689432920255,1088.14343398577,1,0.0299160790778688,0.863393278642114,1.07638336953823,1,0.00380381136106685,0.951072497941821,307.205851664185,1,0.027799398546053,0.868267449225798,2419.70959231864,1,1.25958491066307,0.267199141040068,4187.48125110631,1,0.641682572063447,0.427834942127974,606.986939359187,1,0.502531384173341,0.482501396732335
"mosaico",0.701380355169917,1,0.447368795380283,0.506726221891648,0.0848608179426753,1,0.897366620126424,0.34813729767343,283.162612952108,1,0.99424859159031,0.323604970749334,96.0515993802983,1,0.0486731075360125,0.82632419716603,0.0224540550328811,1,0.0137305602573079,0.907198402064635,48.6433701459937,1,0.10788746110253,0.743961770973283,138.899720031368,1,0.270637966738499,0.60524680527287,19543.3513878887,1,1.32136410554126,0.255927267785222,136.718939613249,1,1.48322770300062,0.229102376356603,24.6414906281186,1,0.789889137151807,0.378476002310534,14736.6523641017,1,1.24578725012354,0.269802311777303,1621.54586813806,1,0.545186771661501,0.463813016402137,0.162056626709671,1,0.0524525902015533,0.819802483975298,344.529187737411,1,1.55033192853884,0.219008279350569,392.523945089575,1,0.0671288196565666,0.796926730792614,84.9526725251926,1,0.0110448970641833,0.9168393266787,34.5430820666079,1,0.00577884724386504,0.939792830416973,136.070407785446,1,0.0495749539477809,0.824966544167403,6.15554107100832,1,0.403002173085494,0.529249776881864,8751.56159288579,1,2.00175765518387,0.163440684527728,9.67072257675159,1,0.475295966431488,0.49381283694679,14374.7681452341,1,0.395202219787946,0.532497161122448,418.476740994671,1,1.47884724605197,0.229780995883332,28563.0581784092,1,2.58470284239142,0.114326040772917,392.318286859416,1,0.20422210825382,0.653328387748421,726.179823319631,1,0.111278572694555,0.740435626601665,643.873512112987,1,0.533070196891366,0.469573596213716
"Residuals",76.821713445865,49,NA,NA,4.63375836133204,49,NA,NA,13955.2302633491,49,NA,NA,94723.2877383696,48,NA,NA,80.131376724091,49,NA,NA,22092.6983802921,49,NA,NA,25148.3055520933,49,NA,NA,724723.953065367,49,NA,NA,4516.65514842826,49,NA,NA,1528.61076825489,49,NA,NA,579630.242458634,49,NA,NA,145740.417172296,49,NA,NA,151.389562998906,49,NA,NA,10889.2359683542,49,NA,NA,228045.628342818,39,NA,NA,299971.489931446,39,NA,NA,233122.652969917,39,NA,NA,107044.898301311,39,NA,NA,595.694310855232,39,NA,NA,214224.992191682,49,NA,NA,996.990169764325,49,NA,NA,1782286.64680682,49,NA,NA,13865.7730630945,49,NA,NA,541489.65513077,49,NA,NA,94130.8275606432,49,NA,NA,261031.321928579,40,NA,NA,48314.3507829008,40,NA,NA
